pop1 ecotype1 pop2 ecotype2 geography ecology lg n.sites num.outliers nnd.mean.null nnd.sd.null nnd.mean.emp nnd.emp.percentile nnd.emp.zscore nnd.emp.pvalue disp.all disp.out
japan japansea roberts stream allo D 1 1864 793 0.0165164439114075 0.00186831469704877 0.0171519380377218 0.6406 0.34014297875947 0.733748856912839 0.50062167298074 0.713831579882621
japan japansea roberts stream allo D 2 1541 765 0.0257136521170516 0.00223934262804092 0.0302918314311982 0.9785 2.04443002907144 0.0409110832627589 0.3476088780745 0.489453132678671
japan japansea roberts stream allo D 3 1258 588 0.0226930690215595 0.00190765843268799 0.0262689476420951 0.9692 1.8744857880543 0.0608634990904188 0.270102488864405 0.397974646953116
japan japansea roberts stream allo D 4 2410 1030 0.0189024859027832 0.00156558139558407 0.0193423470235418 0.6083 0.280957043817255 0.778743347311484 0.627311246273357 0.789628047159398
japan japansea roberts stream allo D 5 1004 380 0.0277070604376274 0.0028743006283639 0.029801677510323 0.7682 0.728739733076524 0.46616088309433 1.31679936614088 1.51048601893247
japan japansea roberts stream allo D 6 1310 620 0.0207071230426604 0.0019907899718319 0.0228912044132377 0.8627 1.09709281314473 0.272600821587685 0.326571849064565 0.425825606528139
japan japansea roberts stream allo D 7 1823 778 0.0281911563229741 0.00207641962698553 0.0279142530606518 0.4575 -0.133356118736124 0.893911747544019 0.325731831806343 0.564700697208494
japan japansea roberts stream allo D 8 1400 609 0.0285976446313528 0.00226018929353546 0.0280978274491914 0.4211 -0.221139522955406 0.824983797084127 0.302740920105612 0.452815396893577
japan japansea roberts stream allo D 9 1396 585 0.0103105990775616 0.00156518961885419 0.0117736754221062 0.8253 0.934759806045504 0.349912097917451 20.1428982910395 20.7798238287587
japan japansea roberts stream allo D 10 1097 497 0.0320336996298549 0.00345526423774522 0.0304894806117066 0.3308 -0.446917778756065 0.65493442675853 0.435410548807114 0.517766312689358
japan japansea roberts stream allo D 11 1351 604 0.0181318272660864 0.00174628651195421 0.0219948726526896 0.9882 2.21214867099912 0.0269563941022046 0.276124894437476 0.40344207408837
japan japansea roberts stream allo D 12 1204 535 0.00955274368457855 0.00103429483004445 0.00807203509337444 0.0754 -1.4316117108895 0.152254976230387 26.3971352813371 26.4948420414894
japan japansea roberts stream allo D 13 1522 677 0.0248762521762792 0.00210342978907418 0.0253921664189674 0.5967 0.245272861194574 0.806245163684087 1.02461748416861 1.18891244485061
japan japansea roberts stream allo D 14 1090 522 0.0264920324644662 0.00260737552335529 0.0279474965467017 0.7095 0.558210380207361 0.576700733514587 0.360466921765036 0.48899565205491
japan japansea roberts stream allo D 15 1134 560 0.02156423014843 0.00229542003582892 0.0252033632800152 0.9518 1.58538876318168 0.112878032651976 1.29655353960553 1.36045559977604
japan japansea roberts stream allo D 16 1284 572 0.0210321366789164 0.00215403895481678 0.0237394404637436 0.9236 1.25684996493362 0.208807969436106 3.7144878303946 3.79575530424424
japan japansea roberts stream allo D 17 1080 535 0.0317875346918495 0.00269485905328057 0.036395786763396 0.955 1.71001598986659 0.0872629162700709 0.53994359713194 0.607857347318604
japan japansea roberts stream allo D 18 1309 657 0.0201841672857701 0.0018589529382924 0.0212980743630747 0.7226 0.599212091042932 0.549031460883631 0.290229219212575 0.410633878772532
japan japansea roberts stream allo D 20 1144 529 0.000570202526002101 3.9743833486411e-05 0.000626546646811549 0.9215 1.41768208717743 0.156283602140728 0.00424943890882677 0.0057982551331065
japan japansea roberts stream allo D 21 862 394 0.0251895377583898 0.002892979612925 0.0283078761703719 0.856 1.07789850922221 0.281079050800214 0.373512316300977 0.606589874234523
