pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate ds gene_count group reg1 reg2 geography2 group2
al marine cl marine allo S -2.96423488228929 -0.0388044107615042 0.131476674052339 -0.017171291607808 allo_S ns ns para para_S
al marine cl white allo D -1.90534228016176 -0.141836094358665 -0.659099978976114 -0.0575639092485619 allo_D ns ns para para_D
al marine cp marine para S -3.20123439546061 -0.0621419837350348 0.514907862487561 0.00229118282101373 para_S ns ns para para_S
al marine ln marine allo S -2.6733328518212 -0.0956405716151862 -0.254607978920711 0.0324642641820705 allo_S ns ns para para_S
al marine mh marine allo S -2.14219427181953 -0.0413087378300806 -0.552176939599782 -0.0638947010693161 allo_S ns ns para para_S
al marine mh white allo D -2.14181645215424 -0.0851513497658733 -0.317917137696332 -0.103343266119623 allo_D ns ns para para_D
al marine sk marine allo S -3.02613569630428 -0.109543055747515 0.288909077413158 0.000941077677231453 allo_S ns ns para para_S
al marine sr marine allo S -2.55447762306682 -0.0520724142168427 -0.27869659958411 -0.00866208172302991 allo_S ns ns para para_S
al marine sr white allo D -1.8926711453731 -0.174187702982109 -0.5252206373906 -0.0722556796883115 allo_D ns ns para para_D
bea lake al marine allo D -2.15620348211724 -0.105631228210664 -0.390147255398106 0.0612200334080681 allo_D al ns allo allo_D
bea lake boot lake allo S -2.69585916200658 -0.034620955510885 -0.348398424461483 0.0345681665622478 allo_S al bc allo allo_S
bea lake boot stream allo D -2.69972982433716 -0.0831373604661744 -0.0427365021245769 0.00903160737329622 allo_D al bc allo allo_D
bea lake cl marine allo D -2.94841908502298 -0.0773416410939682 0.595524617114835 0.0367599505561157 allo_D al ns allo allo_D
bea lake cl white allo D -2.15990212040369 -0.127300718518579 -0.610014625931087 0.122966088378826 allo_D al ns allo allo_D
bea lake constance lake allo S -2.3719353245344 -0.0574762991953127 -0.143627043405388 -0.0516524556798363 allo_S al sl allo allo_S
bea lake constance stream allo D -2.97104967556483 -0.0231613099460064 0.191402109896506 -0.0108725351537541 allo_D al sl allo allo_D
bea lake cp marine allo D -1.97093936987119 -0.0997261122797017 -0.370848980185284 0.00950424355136564 allo_D al ns allo allo_D
bea lake denmark marine allo D -3.12218351025237 0.0118368285231898 0.58118098593402 -0.00959195551401234 allo_D al ne allo allo_D
bea lake geneva lake allo S -1.91296910428732 -0.0365590687630406 -0.888845665029266 -0.0158258540509214 allo_S al sl allo allo_S
bea lake geneva stream allo D -2.29504862377424 -0.0539231985254487 -0.515240937699443 -0.00337136591766455 allo_D al sl allo allo_D
bea lake japan japansea allo D -0.923568294379215 -0.0937359359444881 -0.408719849185576 -0.109459956801059 allo_D al jp allo allo_D
bea lake japan marine allo D -1.79251457797918 -0.298809813340544 -0.483281092155506 -0.00602273143912847 allo_D al jp allo allo_D
bea lake joes lake allo S -3.33020006137074 0.0176654478578332 0.14999150896601 0.0345713372797032 allo_S al bc allo allo_S
bea lake joes stream allo D -3.06798694562318 0.0147492969309575 -0.104619365796169 0.0281382032461919 allo_D al bc allo allo_D
bea lake litcampbell marine allo D -2.82888975638264 -0.0625572868371503 0.891140155965165 -0.136783837363597 allo_D al bc allo allo_D
bea lake ln marine allo D -2.35061535913725 -0.098865869295761 0.102875550919979 0.0419365193774899 allo_D al ns allo allo_D
bea lake mh marine allo D -1.9675765754929 -0.0526741248193535 -0.212030727862521 -0.0263511326262698 allo_D al ns allo allo_D
bea lake mh white allo D -1.76696454143118 -0.0353417056952199 -0.875771993665541 0.0445068487139501 allo_D al ns allo allo_D
bea lake misty lake allo S -3.22324395508832 -0.0756477818971867 0.321103043329942 0.0395826063233496 allo_S al bc allo allo_S
bea lake misty stream allo D -2.91408230756143 -0.0486887119454638 0.0702289359432375 0.0093336450559714 allo_D al bc allo allo_D
bea lake mud lake allo S -2.87415232689843 -0.107049139728773 0.130682253712553 0.0226933487178123 allo_S al al para para_S
bea lake rab marine allo D -1.30938567184198 -0.423506651755659 -1.02968521978085 0.0442751363670148 allo_D al al para para_D
bea lake res marine allo D -1.59559897984693 -0.40304429844264 -0.67309537925247 0.0248028182858586 allo_D al al para para_D
bea lake roberts lake allo S -3.38812639543712 -0.0417837815323578 0.589769014734559 -0.00809351730841865 allo_S al bc allo allo_S
bea lake roberts stream allo D -2.77283571192523 -0.0519938763713366 0.0853693871533162 -0.021230712633819 allo_D al bc allo allo_D
bea lake sk marine allo D -2.16044178702797 -0.10330204036729 -0.453157472811686 0.0921087082588375 allo_D al ns allo allo_D
bea lake sr marine allo D -2.46744307690195 -0.0599520374804162 -0.0900081855725904 0.0599416876156996 allo_D al ns allo allo_D
bea lake sr white allo D -3.17521920215152 -0.0841038317045932 0.518855985421483 0.0840313565574628 allo_D al ns allo allo_D
boot lake al marine allo D -2.13786827767297 0.0196388337947587 0.179028250726857 -0.0835599072887849 allo_D bc ns allo allo_D
boot lake boot stream para D -1.4919144139964 -0.377402345289627 -0.426468719423037 -0.0849846803772878 para_D bc bc para para_D
boot lake cl marine allo D -2.62175220794273 0.0387300102744406 0.240378380141292 0.00461584343696666 allo_D bc ns allo allo_D
boot lake cl white allo D -1.97790799517194 0.0271578820221242 -0.2398328766278 -0.00755045004898438 allo_D bc ns allo allo_D
boot lake constance lake allo S -2.47399348861099 -0.0537541414663572 -0.169847138680153 -0.0288001893438387 allo_S bc sl allo allo_S
boot lake constance stream allo D -2.33516244849554 -0.0422348929872505 -0.221335580266913 -0.0691145950875833 allo_D bc sl allo allo_D
