study	sample	group	pop	ecotype	pop_alias	data_source	pooled	accession_number	barcode	seq_type	latitude	longitude
rennison	Pax_S13_553	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S13_554	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S13_556	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S13_558	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S13_559	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S13_560	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S13_564	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S13_573	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S13_575	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S13_578	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S13_579	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S13_581	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S14_031	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S14_047	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S14_058	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S14_073	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	Pax_S14_094	NA	paxton	benthic	Pax_B	UBC	no			GBS	49.708931	-124.525205
rennison	LQB_631	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_632	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_634	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_635	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_637	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_638	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_639	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_640	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_641	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_642	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_643	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_644	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_645	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_646	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_647	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_648	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_649	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_650	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_651	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQB_652	NA	little_quarry	benthic	LQ_B	UBC	no			GBS	49.662625	-124.10899
rennison	LQL_601	NA	little_quarry	limnetic	LQ_L	UBC	no			GBS	49.662625	-124.10899
rennison	LQL_604	NA	little_quarry	limnetic	LQ_L	UBC	no			GBS	49.662625	-124.10899
rennison	LQL_608	NA	little_quarry	limnetic	LQ_L	UBC	no			GBS	49.662625	-124.10899
rennison	LQL_618	NA	little_quarry	limnetic	LQ_L	UBC	no			GBS	49.662625	-124.10899
rennison	LQL_619	NA	little_quarry	limnetic	LQ_L	UBC	no			GBS	49.662625	-124.10899
rennison	LQL_620	NA	little_quarry	limnetic	LQ_L	UBC	no			GBS	49.662625	-124.10899
rennison	LQL_624	NA	little_quarry	limnetic	LQ_L	UBC	no			GBS	49.662625	-124.10899
rennison	LQL_626	NA	little_quarry	limnetic	LQ_L	UBC	no			GBS	49.662625	-124.10899
rennison	LQL_627	NA	little_quarry	limnetic	LQ_L	UBC	no			GBS	49.662625	-124.10899
rennison	LQL_628	NA	little_quarry	limnetic	LQ_L	UBC	no			GBS	49.662625	-124.10899
catchen	cr_1533.01	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.02	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.03	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.04	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.05	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.06	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.07	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.08	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.09	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.10	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.11	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.12	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.13	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.14	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.15	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.16	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.17	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.18	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.19	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.20	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.21	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.22	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.23	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cr_1533.24	1a	crooked_river	freshwater	cr	SRA	no	SRA070979		RAD	44.172317	-120.504409
catchen	cs_1335.01	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.02	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.03	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.04	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.05	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.06	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.07	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.08	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.09	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.10	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.11	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.12	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.13	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.14	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.15	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.16	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.17	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.19	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.20	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.22	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.23	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.24	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.25	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.26	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.27	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.28	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.29	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.30	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.31	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.32	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.33	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.35	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.36	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.37	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.38	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.39	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.40	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.41	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.42	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.43	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
