pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate ds gene_count group reg1 reg2 geography2 group2
boot lake mh white allo D -2.2880883694692 0.0250517441579269 -0.417954824395771 0.0516467704811794 allo_D bc ns allo allo_D
boot lake misty lake allo S -1.23627535852351 -0.257514847530077 -1.04415655186094 -0.0196588461833869 allo_S bc bc para para_S
boot lake misty stream allo D -1.29281517350555 -0.177525061939849 -1.00465328761815 -0.0484072609454725 allo_D bc bc para para_D
boot lake roberts lake allo S -2.58020098408011 -0.163562856083073 0.144660219578854 -0.00228148602110812 allo_S bc bc para para_S
boot lake roberts stream allo D -2.16677664385436 -0.13985071078617 -0.29316646045419 -0.0211123738048198 allo_D bc bc para para_D
boot lake sk marine allo D -2.43745312715253 0.00904228582851816 0.34262934945614 -0.0327996938624182 allo_D bc ns allo allo_D
boot lake sr marine allo D -2.21244579718759 0.0209215624250503 -0.019855262363539 -0.0248532032601267 allo_D bc ns allo allo_D
boot lake sr white allo D -1.96468041047922 -0.000448071752865412 -0.124190236993749 -0.00813694155901574 allo_D bc ns allo allo_D
boot stream al marine allo D -1.73917465098091 -0.0183713650203304 -0.0585659370149402 -0.0337128059199841 allo_D bc ns allo allo_D
boot stream cl marine allo D -1.57497270911082 0.00376454898898482 -0.566733433828083 0.0224647204640609 allo_D bc ns allo allo_D
boot stream cl white allo D -0.947998747946848 -0.020856888015184 -1.23489295062397 0.0514992033390888 allo_D bc ns allo allo_D
boot stream constance lake allo D -2.05430877212428 -0.0646680225267423 -0.791833106545355 0.0186166513236716 allo_D bc sl allo allo_D
boot stream constance stream allo S -2.2236539466743 -0.0556350177799798 -0.69844307441357 0.0290070885688973 allo_S bc sl allo allo_S
boot stream cp marine allo D -1.79328261374088 -0.00407427249672793 -0.341188039485569 -0.00878069857302265 allo_D bc ns allo allo_D
boot stream geneva lake allo D -2.37690022442 -0.0464178733038673 -0.755295379965047 0.0522645772489179 allo_D bc sl allo allo_D
boot stream geneva stream allo S -2.16678092729249 -0.0369893348450709 -0.830782882672308 0.0219529946667958 allo_S bc sl allo allo_S
boot stream joes lake allo D -3.08553821547291 -0.0169685296129411 0.0848330969789425 0.0212914341264946 allo_D bc bc para para_D
boot stream joes stream allo S -3.20986479589165 -0.0482919802869787 0.23277844925164 0.0349265391587336 allo_S bc bc para para_S
boot stream ln marine allo D -1.28571539172007 -0.0958130924262405 -0.47337371019654 -0.0199014832008198 allo_D bc ns allo allo_D
boot stream mh marine allo D -1.1964404747586 0.00889047184364843 -0.901961474313623 0.00217867578280413 allo_D bc ns allo allo_D
boot stream mh white allo D -1.19004704203117 -0.00152940688830689 -1.19799113080021 0.0692893082991691 allo_D bc ns allo allo_D
boot stream misty lake allo D -2.18533607708211 -0.176988410361762 -0.297896479443959 0.000675510397112536 allo_D bc bc para para_D
boot stream misty stream allo S -1.69152569735357 -0.18284881294571 -0.679067527082181 -0.0328726836803019 allo_S bc bc para para_S
boot stream roberts lake allo D -2.83968820988487 -0.0457493297259454 0.0127905303095724 -0.0055995128221558 allo_D bc bc para para_D
boot stream roberts stream allo S -2.79145326035001 -0.103565960101988 0.364365128169188 -0.0527459970648532 allo_S bc bc para para_S
boot stream sk marine allo D -1.15657266098404 0.0291987174245081 -0.89215015023827 -0.0170436296420052 allo_D bc ns allo allo_D
boot stream sr marine allo D -1.10600457235671 -0.0292123233755193 -0.801493657575645 0.00026411995589149 allo_D bc ns allo allo_D
boot stream sr white allo D -1.09119606749699 -0.0154518542128013 -0.919681701173157 0.00419067757867155 allo_D bc ns allo allo_D
cl marine cl white para D -1.65495262223702 -0.115014973279062 -0.869226100011562 -0.060680993594583 para_D ns ns para para_D
cl marine cp marine allo S -2.54361386552234 -0.0286648230086879 -0.344193457148425 -0.00936991329106895 allo_S ns ns para para_S
cl marine ln marine allo S -2.57555655461859 -0.0892289564885253 -0.0515297977930547 -0.0245475722943559 allo_S ns ns para para_S
cl marine mh marine allo S -1.81551040910767 -0.0460620717941869 -0.852161478816819 -0.0330649087803362 allo_S ns ns para para_S
cl marine mh white allo D -2.22751482313093 -0.07040921950526 -0.235748384516412 -0.0762881089973086 allo_D ns ns para para_D
cl marine sk marine allo S -3.3244267648855 -0.0219175279624356 0.31817437286629 0.0113837536483447 allo_S ns ns para para_S
cl marine sr marine allo S -2.39923671206611 0.00793559521937469 -0.470036001297804 -0.0418590710935932 allo_S ns ns para para_S
cl marine sr white allo D -1.78185012576013 -0.15657130844782 -0.350818755142642 -0.108468007845657 allo_D ns ns para para_D
cl white cp marine allo D -2.19239306388462 -0.0856748650888687 -0.522788477176239 -0.0467262979873756 allo_D ns ns para para_D
cl white ln marine allo D -2.22184939007924 -0.0429150525235774 -0.735947535514203 0.000133700329067979 allo_D ns ns para para_D
cl white mh marine allo D -2.19022014901657 -0.124131966902735 -0.578433216614593 0.00967846258251277 allo_D ns ns para para_D
cl white mh white allo S -2.56005771558334 -0.0542706700398293 -0.34571934985589 0.0177627196928607 allo_S ns ns para para_S
cl white sk marine allo D -2.97377681768794 -0.0997398634272275 0.309662879230774 -0.0143854391232938 allo_D ns ns para para_D
cl white sr marine allo D -1.82228544851281 -0.0647708233342852 -0.962628989386582 -0.0577094205106987 allo_D ns ns para para_D
cl white sr white allo S -2.29155894672973 0.000182149376558458 -0.689809402646426 -0.0278845538294966 allo_S ns ns para para_S
constance lake al marine allo D -2.56111710299243 -0.0514658526754662 0.147420427098753 -0.0137880131097179 allo_D sl ns allo allo_D
constance lake cl marine allo D -3.99954816205325 -0.0288910568154971 1.36793744707162 0.0598536367587803 allo_D sl ns allo allo_D
constance lake cl white allo D -2.70370684611761 -0.0479624907631297 0.0788967887164795 0.0724099712685216 allo_D sl ns allo allo_D
constance lake constance stream para D -2.76622444734794 0.00712304542636369 -0.18830302660445 -0.0234405143581251 para_D sl sl para para_D
constance lake cp marine allo D -1.87762467730808 -0.0459872660339091 -0.523838467997495 -0.0449782318948682 allo_D sl ns allo allo_D
constance lake geneva lake allo S -3.59363255709036 0.0182922671118854 0.532709332912667 -0.00182432808792415 allo_S sl sl para para_S
constance lake geneva stream allo D -3.28631703273951 0.0211701010060835 0.320588580110962 -0.0157097438092785 allo_D sl sl para para_D
constance lake joes lake allo S -2.61208985781179 -0.000869125076185209 0.14393073563161 -0.0369770648340826 allo_S sl bc allo allo_S
constance lake joes stream allo D -3.40820450787196 0.0117790452243125 0.55585218729377 -0.0104793491297174 allo_D sl bc allo allo_D
constance lake ln marine allo D -3.27863787509269 -0.0711558227350039 0.851203206544456 0.0055684333122254 allo_D sl ns allo allo_D
constance lake mh marine allo D -3.53335182112704 -0.0569564255069523 1.06353793831754 0.0462602152746568 allo_D sl ns allo allo_D
constance lake mh white allo D -4.90234345215365 -0.151794637782547 1.93304657599781 0.129627766649155 allo_D sl ns allo allo_D
constance lake misty lake allo S -2.02476370274794 -0.353355498411689 0.0680898940560652 -0.0221879683954885 allo_S sl bc allo allo_S
