pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate gene_count ds recomb_rate.gene_count recomb_rate.ds gene_count.ds recomb_rate.gene_count.ds group
bea lake cp marine allo D -2.78433211524845 -0.121131870170351 -0.392952139263894 -3.60757333711096 0.0406175932401334 0.247828889331822 0.85701957644827 -0.13738863284923 allo_D
bea lake denmark marine allo D -3.45069344750674 -0.424491330679645 0.00694402448333864 -3.50778256266214 -0.0301510221198615 0.911863759110848 0.267009907045947 0.0253638621096742 allo_D
bea lake geneva lake allo S -3.95918944096432 0.0217843621382662 -0.331714987737944 -3.56260801632134 0.0321577617578965 0.389211273689144 1.11001164229892 -0.324376525373287 allo_S
bea lake geneva stream allo D -4.26136508960307 0.141310324042393 -0.224757952782746 -2.76138395965533 -0.0628540745958774 0.152387153701913 0.805227939120842 -0.0629801112260455 allo_D
bea lake japan japansea allo D -3.14316863825943 -0.178258131554734 -0.251966882059732 -3.54686180283234 0.024034507318682 0.252968298022685 0.371636987471425 -0.0554851944234014 allo_D
bea lake japan marine allo D -2.69380049885666 -0.566970595680233 -0.132312212146583 -0.626912357199791 0.00743414796236942 -0.437432089511644 -0.00316860440453006 0.107148460404871 allo_D
bea lake joes lake allo S -4.86635909076874 -0.0245310225725371 0.121314646344386 1.1196365108967 -0.0103087077201879 0.0131805150593832 -0.69321715810716 0.0342602391758651 allo_S
bea lake joes stream allo D -5.96024256190567 0.0629057740194656 0.411788568685133 5.10199187808493 -0.0336365456978313 -0.219328668235271 -1.62439199152178 0.0830351990065688 allo_D
bea lake litcampbell marine allo D -3.12455715557032 -0.293961647477695 -0.22295660858873 -3.25365659152126 0.0150802449883226 0.670180557704802 0.287956164930621 -0.0442180204629193 allo_D
bea lake ln marine allo D -4.63870020715741 -0.0364565494732269 0.202076279820117 2.07808394923389 0.0131706692207764 -0.0529517004252191 -0.556147890159089 -0.100456772761941 allo_D
bea lake mh marine allo D -4.59246480663495 -0.129267682207313 0.296615867600049 2.39683916294298 -0.00557146074101002 0.238284717171294 -1.19681911336397 0.00188710658707826 allo_D
bea lake mh white allo D -3.84136497105487 -0.157695054630719 -0.176059592130888 -2.26919698465315 0.0311426319891021 0.577135104320466 0.644010542628464 -0.113842351003502 allo_D
bea lake misty lake allo S -4.60352143021878 -0.0341293495741896 0.2736086083124 1.05185270084311 -0.0419329126652221 -0.261141269421404 -1.03676352146748 0.154010377715844 allo_S
bea lake misty stream allo D -4.48733043721955 0.00374615434731171 0.165722908552326 1.00881652780174 -0.0291462121215787 -0.12316446224839 -0.905325829547276 0.106817397438285 allo_D
bea lake mud lake allo S -3.8801216432693 -0.0972907355612221 -0.252044444724926 -4.60005527005672 0.00835103957298789 0.433080205247593 1.28506264589553 -0.207848716256196 allo_S
bea lake rab marine allo D -2.97602890837867 -0.624325895976149 -0.0756796736112367 -0.816723633960846 0.0764312336061343 0.0254652306804684 0.356688639142062 -0.314526429378319 allo_D
bea lake res marine allo D -3.91901393519806 0.042053571039487 0.22234571510786 2.2798512864239 -0.0825553083327062 -1.56316978100795 -0.654392644905495 0.240584865384126 allo_D
bea lake roberts lake allo S -3.37844513328673 -0.0957027605229715 -0.460407365282097 -2.36147139510617 0.0321797677956687 0.117620494227288 0.818453022285096 -0.0408802298133486 allo_S
bea lake roberts stream allo D -4.04847251007189 -0.0415057346990701 -0.0350637007525873 -1.45117908633455 0.00441776209705632 0.247207716974145 -0.0630632980041922 -0.0479382762489886 allo_D
bea lake sk marine allo D -5.40221811481596 -0.0473758597434683 0.27735398182202 3.17307311645145 -0.00539179861397954 0.0172914780471733 -0.747071114519035 -0.00465817654152231 allo_D
bea lake sr marine allo D -4.92299252791749 -0.0792922200409125 0.33362176264049 2.2280480960633 -0.00262870751338335 0.144214146145104 -0.907192903716757 -0.051287407675131 allo_D
bea lake sr white allo D -5.72314429805066 0.00536867089305509 0.216719357231637 3.66488637461519 0.0122977308578256 0.0124094561771588 -0.37651487883557 -0.135263107969732 allo_D
boot lake al marine allo D -3.69802062947757 0.118105086213384 -0.153142043137776 0.175494609978639 -0.0383911885917037 -0.696192027518319 0.182811960343414 0.0985173849642141 allo_D
boot lake boot stream para D -1.88446365472898 -0.589784678029051 -0.292808139644619 -4.33151239561376 -0.103746869214872 0.663532733840319 0.956926994941888 -0.00571008504693253 para_D
boot lake cl marine allo D -4.71464202029785 0.184182728658786 0.00868026817286948 -0.11116330856293 -0.0223987790153523 -0.288015709431972 0.0938647810654135 0.0279535665824363 allo_D
boot lake cl white allo D -5.03430281903118 0.179732220624159 0.0502549319797296 2.80357775091606 -0.0133637165601409 -0.775813674864979 -0.127238259767643 0.0505957765853011 allo_D
boot lake constance lake allo S -6.38210447684561 0.172391290573273 0.484502559961088 4.1052427843194 -0.281658281173514 -0.600684841165949 -1.1377620428551 0.388771455255299 allo_S
boot lake constance stream allo D -5.74797898742133 0.0928034642571997 0.478427447755836 2.79366528996594 -0.241090183813958 -0.554812985291315 -1.21482138466344 0.35937495165503 allo_D
boot lake cp marine allo D -3.87776278843575 0.148186840136114 0.0467679821204203 1.09209349501371 -0.0897972248311565 -0.801807083699428 -0.370725486201756 0.20277341217435 allo_D
boot lake geneva lake allo S -6.72279536075457 0.121650488238694 0.573049508142188 4.51219124312149 -0.278888827058695 -0.636309051792401 -1.26568905553557 0.310772909194721 allo_S
boot lake geneva stream allo D -4.53598581142994 0.0402987038668345 0.225988206321986 -3.07891309914221 -0.35644358435686 0.847598589770945 0.0316852676248303 0.109888816910963 allo_D
boot lake joes lake allo S -4.21826937705978 -0.0205546474539346 0.1008890414032 -5.92610537321473 -0.176472442032909 0.541953472106533 0.48453555066327 0.113739913562427 allo_S
boot lake joes stream allo D -6.73063397354664 0.275814520449009 0.414479107023764 2.7194576327162 -0.231136930003558 -0.414585692426755 -0.517204516980404 0.251040329696346 allo_D
