pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate gene_count ds group
cl marine cp marine allo S -6.28727922976073 -0.0374753048291605 -0.175456356622026 1.0826804137516 allo_S
cl marine ln marine allo S -5.49146018160144 -0.0509952085358338 0.0117804921795598 -0.142706978131867 allo_S
cl marine mh marine allo S -6.17956426073373 0.00763847239487215 0.080989428553304 -0.369779655640166 allo_S
cl marine mh white allo D -5.65987218441904 0.00764409512519304 0.0121373058829871 0.103572045313204 allo_D
cl marine sk marine allo S -7.0774928336726 0.019369133172908 0.111614954293541 0.383875420166042 allo_S
cl marine sr marine allo S -5.36774192347736 0.0063265444524206 -0.00966292271380298 -0.689475863782143 allo_S
cl marine sr white allo D -4.75561165953442 -0.138553595095085 -0.0944545170456937 -0.263959563052569 allo_D
cl white cp marine allo D -7.22897278891789 -0.0689856986940207 0.069193600215546 1.1671757532339 allo_D
cl white ln marine allo D -5.02277106575367 0.000424759216775804 0.0424945502371364 -0.813493936916066 allo_D
cl white mh marine allo D -6.94247049145364 -0.382963734750025 0.137446330807842 0.779830395761821 allo_D
cl white mh white allo S -5.68976513082437 0.0160343412250736 -0.29023590718428 0.242771034944931 allo_S
cl white sk marine allo D -7.70957306721688 -0.033639280051709 0.0470054535834897 2.13319391044952 allo_D
cl white sr marine allo D -7.26224449645278 -0.0112564059526367 0.122459932265741 0.490391494405281 allo_D
cl white sr white allo S -5.17683625738668 -0.296498617381814 -0.0243300567667666 -0.576611672607292 allo_S
constance lake al marine allo D -3.95514027103934 0.00748568062784664 -0.133772591121473 -0.156405812691663 allo_D
constance lake cl marine allo D -6.32488890260718 -0.0188562439714266 0.0841093037581033 1.76168084533663 allo_D
constance lake cl white allo D -4.16510125439216 0.00603909013442953 -0.0677308223945467 0.0310410371080332 allo_D
constance lake constance stream para D -4.53006856458088 0.0400628664504446 -0.407954207752719 -0.254915641149364 para_D
constance lake cp marine allo D -3.60093683710019 -0.0357130160018449 -0.08638618757844 -0.612016927754428 allo_D
constance lake geneva lake allo S -6.15644075225333 0.0126246778207263 0.00500203687355511 1.10791080921373 allo_S
constance lake geneva stream allo D -6.13577495316514 0.0117918365663366 -0.0362477269819684 1.17566451339523 allo_D
constance lake joes lake allo S -4.75598349102365 -0.0588210836606323 0.0299789661808647 -0.461272330429287 allo_S
constance lake joes stream allo D -6.81745987781484 -0.0698192731595998 0.108974833829511 0.957212289475606 allo_D
constance lake ln marine allo D -4.68980734008473 -0.00629404110054124 -0.156081809330488 0.793129628303763 allo_D
constance lake mh marine allo D -6.47580023140271 -0.0487025168004163 0.107041190733396 1.64147353542424 allo_D
constance lake mh white allo D -6.51649606974429 -0.113903299191825 0.139889044246653 1.55435816938036 allo_D
constance lake misty lake allo S -3.638007341829 -0.426491308822006 -0.0469348539904298 -0.0402875069539836 allo_S
constance lake misty stream allo D -4.05258898528969 -0.519181809828869 -0.0556122481390379 0.418056111962859 allo_D
constance lake roberts lake allo S -3.83693612312834 -0.226196511568823 0.00560915532490469 -0.171950267070795 allo_S
constance lake roberts stream allo D -3.53337271838897 -0.401373992524977 0.0972656024842492 -0.841036596309013 allo_D
constance lake sk marine allo D -5.76534004466811 -0.00610477198285402 0.0222684094199102 1.1172641099178 allo_D
