pop1 ecotype1 reg1 pop2 ecotype2 reg2 geography geography2 ecology group group2 lg n.sites num.outliers nnd.mean.null nnd.sd.null nnd.mean.emp nnd.emp.percentile nnd.emp.zscore nnd.emp.pvalue disp.all disp.out
al marine ns cp marine ns para para S para_S para_S 16 407 4 6.08595221002959 3.0821274483796 4.56290708760749 0.3555 -0.494153842737046 0.621197534718788 3.73673728807153 4.60206492596206
al marine ns cp marine ns para para S para_S para_S 17 390 8 4.98944153297491 1.62759018272952 4.19547786028788 0.3187 -0.487815471678212 0.625680551528307 0.602251680103137 19.8321860808533
al marine ns cp marine ns para para S para_S para_S 18 421 4 7.37664944130414 3.44966148224736 7.38772825394798 0.5089 0.00321156516396267 0.997437546144585 0.433083848081231 22.6573484333944
al marine ns cp marine ns para para S para_S para_S 20 394 3 0.217780610211128 0.101934047499668 0.110764338528703 0.1782 -1.04985796510016 0.293783420194971 0.0056195844476158 0.00677557511379831
al marine ns cp marine ns para para S para_S para_S 21 279 4 5.36114468556089 2.57490370092346 1.35008648117294 0.066 -1.55775076285355 0.119292341900792 0.615101977799728 NA
al marine ns ln marine ns allo para S allo_S para_S 1 681 12 2.14325004013211 1.06512605977119 0.746463772945155 0.1099 -1.31138117819314 0.189729014550917 0.739604470776457 5.72924667849474
al marine ns ln marine ns allo para S allo_S para_S 2 574 9 4.08496029445225 1.45771715496583 4.07103727646179 0.4952 -0.00955124795165449 0.992379322590899 0.402365090247445 12.8790424679518
al marine ns ln marine ns allo para S allo_S para_S 3 447 13 1.93157233863377 0.553655815454746 1.08524742522381 0.0652 -1.52861198200335 0.126360663848373 0.379408380251732 3.78394871534802
al marine ns ln marine ns allo para S allo_S para_S 4 759 8 4.37550161352234 1.92531215834005 1.88939158870769 0.1058 -1.29127633357809 0.196607874080968 0.878856984202854 3.82716591659725
al marine ns ln marine ns allo para S allo_S para_S 5 342 10 1.8212562438735 0.717943311721217 1.43321594739964 0.3169 -0.540488768595899 0.588860004502704 1.55374050471464 1.22641222268858
al marine ns ln marine ns allo para S allo_S para_S 6 549 9 3.05976930501477 1.14730859266181 2.11420031599366 0.2387 -0.824162736223685 0.409847097211508 0.589996647521853 4.14279949325314
al marine ns ln marine ns allo para S allo_S para_S 7 692 14 2.59837856784791 0.750643626113868 1.593445774445 0.093 -1.33876150871421 0.180648325160783 0.390731027039645 7.65828653694834
al marine ns ln marine ns allo para S allo_S para_S 8 539 8 3.96516044535371 1.39525852200026 3.02554039391678 0.2752 -0.673437959074337 0.500668706201933 0.360615918651881 4.61519347530283
al marine ns ln marine ns allo para S allo_S para_S 9 716 51 0.265109814753033 0.206291436133642 0.273260784501976 0.7346 0.0395119152869835 0.968482253910681 20.2612777785912 33.7986763424013
al marine ns ln marine ns allo para S allo_S para_S 10 389 12 2.51513484272236 0.840833213914984 1.14158233556881 0.0569 -1.63356119194932 0.102351022119089 0.754540857633809 9.7508858119695
al marine ns ln marine ns allo para S allo_S para_S 11 507 10 2.15345486043844 0.735043489156449 2.51827389036263 0.6647 0.496323054766278 0.619666502868172 0.37403564741627 2.45458889115881
al marine ns ln marine ns allo para S allo_S para_S 12 463 8 2.49978572080362 2.28934459957866 0.207986974891758 0.0025 -1.00107198642513 0.316792007260775 26.4198617449864 3.91027334133338
al marine ns ln marine ns allo para S allo_S para_S 13 579 15 2.19326871989198 0.683486638525527 2.09967420220715 0.4725 -0.136936865198619 0.891080699084379 1.30188854193715 3.41949279655783
al marine ns ln marine ns allo para S allo_S para_S 14 443 5 4.99130469825186 2.36041520599905 8.65915684173231 0.9336 1.55390125184693 0.1202079730883 0.450137180528683 1.92811061817263
al marine ns ln marine ns allo para S allo_S para_S 15 436 9 2.81482844678647 1.00358201899838 3.57881629548882 0.7622 0.761260997347127 0.446501191521215 0.996864357480676 3.90721229817225
al marine ns ln marine ns allo para S allo_S para_S 16 489 8 2.94737338120434 1.15300759425262 2.81199439762212 0.4726 -0.117413783098252 0.906532162286525 3.71017080558292 1.20897712190076
al marine ns ln marine ns allo para S allo_S para_S 17 412 9 4.42433971724276 1.37226236143746 8.48081858138774 1 2.9560519752912 0.00311604575754423 0.537244228589157 8.11480409645469
al marine ns ln marine ns allo para S allo_S para_S 18 429 5 5.67237005149609 2.46096049677355 7.7312745209068 0.7578 0.836626379054052 0.402802613136373 0.378707480144968 5.08969657238605
al marine ns ln marine ns allo para S allo_S para_S 21 327 15 1.21619073423694 0.370612532140078 0.683990846859068 0.0804 -1.43600078579297 0.151002117665122 0.610482387050663 4.0523537721561
al marine ns mh marine ns allo para S allo_S para_S 1 478 7 3.10772695203286 2.1514502642927 7.0111088534481 0.9895 1.81430264329094 0.0696311448459873 1.21860855716678 47.8533463745929
al marine ns mh marine ns allo para S allo_S para_S 2 459 12 2.83070837844569 0.955219969639103 2.35895361227428 0.3299 -0.493870292880972 0.621397785933143 0.636189745460587 5.84434328691913
al marine ns mh marine ns allo para S allo_S para_S 3 325 4 6.66313165818367 3.08305871473795 5.19652278215563 0.3624 -0.475699301157387 0.63428861887968 0.500750800724812 5.91287114075559
