pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate ds gene_count group reg1 reg2 geography2 group2
boot lake misty lake allo S -3.52632121541967 -0.650338388741839 -0.315202955822471 0.0195619449015243 allo_S bc bc para para_S
boot lake misty stream allo D -3.31687318741531 -0.733898933491124 -0.259724565582665 0.0109189672024451 allo_D bc bc para para_D
boot lake roberts lake allo S -4.52654775826383 -0.210219450900028 0.146645157451799 0.0243045641749535 allo_S bc bc para para_S
boot lake roberts stream allo D -3.89997426091288 -0.470999908307977 -0.339268372480362 0.036896983006532 allo_D bc bc para para_D
boot lake sk marine allo D -4.11662005811802 0.0193068877436111 -0.120332722082832 -0.0779892853844724 allo_D bc ns allo allo_D
boot lake sr marine allo D -4.44520376116127 0.0222709245023495 0.520046698976801 -0.0857331209792017 allo_D bc ns allo allo_D
boot lake sr white allo D -4.28748728643961 0.00978496433327192 0.415240826468084 -0.0487153441329659 allo_D bc ns allo allo_D
boot stream al marine allo D -2.6519381977916 -0.0217281791204717 -1.71606589190379 0.025829793831365 allo_D bc ns allo allo_D
boot stream cl marine allo D -3.72926135200656 0.0123132034904888 -0.735164228486647 0.0682848401000194 allo_D bc ns allo allo_D
boot stream cl white allo D -2.70143090541166 -0.0893861301284181 -1.62497193728027 0.0665469618344638 allo_D bc ns allo allo_D
boot stream constance lake allo D -3.50532245689545 -0.378773452316369 -1.0574822360074 -0.0965200756691569 allo_D bc sl allo allo_D
boot stream constance stream allo S -4.22671374833392 -0.348187786695975 -0.158193008947503 -0.152742945014804 allo_S bc sl allo allo_S
boot stream cp marine allo D -2.00100698439593 -0.134634595785509 -2.03484865115168 -0.00793425814586667 allo_D bc ns allo allo_D
boot stream geneva lake allo D -2.41364704089907 -0.256506632006328 -3.16921736315605 -0.100505216109774 allo_D bc sl allo allo_D
boot stream geneva stream allo S -3.03490421581697 -0.00870655442299628 -1.78949074683743 -0.469878312855957 allo_S bc sl allo allo_S
boot stream joes lake allo D -1.65335634698499 -0.213060016193343 -3.59746484199392 -0.127588229622315 allo_D bc bc para para_D
boot stream joes stream allo S -2.23493700066918 -0.0469337953011739 -4.34509449224363 -0.0160543736917726 allo_S bc bc para para_S
boot stream ln marine allo D -3.20736643041018 -0.17555775726009 -0.502259379689427 0.00300925199950491 allo_D bc ns allo allo_D
boot stream mh marine allo D -2.49416982555348 0.00881375764821812 -1.84830828032383 0.00573852505015846 allo_D bc ns allo allo_D
boot stream mh white allo D -2.56018197503677 0.0186657210257645 -1.79586773750733 -0.0201181487203337 allo_D bc ns allo allo_D
boot stream misty lake allo D -4.10906969589558 -0.18673513256046 -0.290798077976642 0.0250953617705291 allo_D bc bc para para_D
boot stream misty stream allo S -2.76610122406078 -0.302677334027804 -1.50154147702308 -0.0194046998037996 allo_S bc bc para para_S
boot stream roberts lake allo D -4.72719875796148 -0.201348981544196 0.50492082594119 -0.0100916813109049 allo_D bc bc para para_D
boot stream roberts stream allo S -4.53706172181292 -0.605036803407311 0.920571942200946 -0.0608802510415426 allo_S bc bc para para_S
boot stream sk marine allo D -2.87928810479342 0.0317817548849515 -1.49383990108703 -0.0104491030576076 allo_D bc ns allo allo_D
boot stream sr marine allo D -2.34858232613667 -0.225854512022254 -1.03018782773352 -0.0292627273347686 allo_D bc ns allo allo_D
boot stream sr white allo D -2.77619933747238 -0.0153995918704084 -1.62516462946576 0.0454023495439868 allo_D bc ns allo allo_D
cl marine cl white para D -5.38551455147409 -0.0148061382867649 -0.3411535130882 -0.0161332489013715 para_D ns ns para para_D
cl marine cp marine allo S -6.31545994686991 -0.029062697801764 1.07193645433253 -0.170861941853761 allo_S ns ns para para_S
cl marine ln marine allo S -5.59721826367147 -0.0608555133942445 -0.086426238033942 0.030367805732164 allo_S ns ns para para_S
cl marine mh marine allo S -6.39948513894315 0.00610576797662847 -0.250221340686509 0.104910381371172 allo_S ns ns para para_S
cl marine mh white allo D -5.71547749081776 0.0110157538887468 0.133977387460452 0.0158186815373672 allo_D ns ns para para_D
cl marine sk marine allo S -7.45529176916568 0.0305947063735177 0.611875958316525 0.131351518673112 allo_S ns ns para para_S
cl marine sr marine allo S -5.12339478233224 0.0105493934163885 -0.977516876731034 -0.0106472633823136 allo_S ns ns para para_S
cl marine sr white allo D -4.71682942878087 -0.138993508953992 -0.294025457385772 -0.0977652486056383 allo_D ns ns para para_D
cl white cp marine allo D -7.65996364095402 -0.0649878748475024 1.52152148713689 0.0815430544597338 allo_D ns ns para para_D
cl white ln marine allo D -4.94624115326634 0.003759285277392 -1.0251974608909 0.06433124417166 allo_D ns ns para para_D
cl white mh marine allo D -7.07867221785066 -0.0656862020079535 0.65628594987707 0.0874717168513565 allo_D ns ns para para_D
cl white mh white allo S -5.41557099879875 0.0221317464710934 0.00941047870187959 -0.322183666394627 allo_S ns ns para para_S
cl white sk marine allo D -7.32250659809829 0.00764302636176932 1.68144522939607 0.0473276403843302 allo_D ns ns para para_D
cl white sr marine allo D -7.46069510495877 0.00555663493535081 0.46896816715524 0.152810075076077 allo_D ns ns para para_D
cl white sr white allo S -5.14821578202114 -0.232917954113123 -0.8265993509793 0.00054559874788648 allo_S ns ns para para_S
constance lake al marine allo D -4.24739423696459 -0.00339918720111637 0.124163813358892 -0.113294198182361 allo_D sl ns allo allo_D
constance lake cl marine allo D -6.5579242705722 -0.0068666390895677 2.01727449348435 0.0676619644125917 allo_D sl ns allo allo_D
constance lake cl white allo D -4.35842098730725 0.00467453339808747 0.202271333816359 -0.0581812096628757 allo_D sl ns allo allo_D
constance lake constance stream para D -4.82556341929453 0.0389259669184911 -0.288474019471668 -0.269172798007078 para_D sl sl para para_D
constance lake cp marine allo D -3.62926786564491 -0.0439673783193874 -0.510642088761642 -0.0964451164551797 allo_D sl ns allo allo_D
constance lake geneva lake allo S -6.42083442762056 0.0156140025874716 1.42753195839002 -0.01449386942145 allo_S sl sl para para_S
constance lake geneva stream allo D -6.50702282784007 0.0122757084938121 1.56619612825151 -0.0481988309577316 allo_D sl sl para para_D
constance lake joes lake allo S -4.66471357694623 -0.0632457890280331 -0.170470956292191 -0.0654088072585625 allo_S sl bc allo allo_S
constance lake joes stream allo D -6.60049592482211 -0.0560716818613678 1.28441509405601 -0.0349453436369689 allo_D sl bc allo allo_D
constance lake ln marine allo D -4.67352289083947 -0.0165485064187922 0.897376639220184 -0.180891792086026 allo_D sl ns allo allo_D
constance lake mh marine allo D -6.70576204564864 -0.0114937087713709 1.90109495872862 0.0759090228666323 allo_D sl ns allo allo_D
constance lake mh white allo D -6.87880209626857 -0.0869770715212375 1.94637687045737 0.120060400295247 allo_D sl ns allo allo_D
constance lake misty lake allo S -3.88226448734436 -0.319663328101313 0.198748201659312 -0.0755289320080537 allo_S sl bc allo allo_S
constance lake misty stream allo D -4.10696546721022 -0.330268774430041 0.362660425755053 -0.0875270476494962 allo_D sl bc allo allo_D
constance lake roberts lake allo S -3.5583312602374 -0.160543470526886 -0.555485097405284 -0.0052258730235651 allo_S sl bc allo allo_S
constance lake roberts stream allo D -3.34467635212128 -0.172705693921276 -1.4215229635017 0.0959063941121412 allo_D sl bc allo allo_D
constance lake sk marine allo D -5.91466019090074 -0.000357971166559505 1.3332552660289 0.0029538499805778 allo_D sl ns allo allo_D
constance lake sr marine allo D -5.17216675967407 -0.0449931304881857 1.11707873872104 -0.0270354399555612 allo_D sl ns allo allo_D
constance lake sr white allo D -4.86648763764351 -0.0102665760505212 1.08551882013256 -0.15956450438126 allo_D sl ns allo allo_D
constance stream al marine allo D -3.47264787794875 0.00292525026284002 -0.498089536171064 -0.131437038164791 allo_D sl ns allo allo_D
constance stream cl marine allo D -6.23531252725456 -0.010505378982753 1.77952215068482 0.0648167757528223 allo_D sl ns allo allo_D
constance stream cl white allo D -3.88159586026884 0.00904055416952377 -0.226607880719893 -0.0949473223364433 allo_D sl ns allo allo_D
constance stream cp marine allo D -3.351035449126 -0.0330162937824796 -0.845144835441138 -0.10121737968132 allo_D sl ns allo allo_D
constance stream geneva lake allo D -5.13508178093131 0.0133098048424119 0.320029068695115 -0.144495360118187 allo_D sl sl para para_D
constance stream geneva stream allo S -5.2313191667254 0.0261018689026642 0.163268680189366 -0.0908448360438426 allo_S sl sl para para_S
constance stream joes lake allo D -4.668901724971 -0.131090498312259 -0.0196796141069672 -0.0894219042250051 allo_D sl bc allo allo_D
constance stream joes stream allo S -6.02521258385711 -0.110479242887174 0.879525873588539 -0.0659930144852599 allo_S sl bc allo allo_S
constance stream ln marine allo D -3.61012506637795 -0.0262870574459987 -0.249038706765393 -0.152949409667135 allo_D sl ns allo allo_D
