"study_com" "lg" "null.05" "null.mean" "outlier.mean.distance" "dist.diff" "clustered" "geography"
"1" "allopatricD_boos.misl" 1 1.11925372980705 1.47597550925588 1.14314026253724 0.332835246718641 FALSE "allopatric.d"
"2" "allopatricD_boos.misl" 2 1.27815139984817 1.6748979985512 1.40581637019555 0.269081628355649 FALSE "allopatric.d"
"3" "allopatricD_boos.misl" 3 1.4487032519752 2.0896232295511 2.25109663013885 -0.161473400587747 FALSE "allopatric.d"
"4" "allopatricD_boos.misl" 4 0.799629042443686 0.833537171635913 0.835228771690778 -0.00169160005486546 FALSE "allopatric.d"
"5" "allopatricD_boos.misl" 5 0.0954197064796774 2.81188523953707 3.30183866028258 -0.48995342074551 FALSE "allopatric.d"
"6" "allopatricD_boos.misl" 6 2.02914179404152 2.45490158633988 2.266099767634 0.18880181870588 FALSE "allopatric.d"
"7" "allopatricD_boos.misl" 7 0.154615450962607 0.202725277768929 0.188334607822687 0.0143906699462423 FALSE "allopatric.d"
"8" "allopatricD_boos.misl" 8 0.0908345001977256 0.105235003006909 0.105636830191523 -0.000401827184613984 FALSE "allopatric.d"
"9" "allopatricD_boos.misl" 9 2.55585532177945 2.6017012084199 2.61643498856451 -0.0147337801446104 FALSE "allopatric.d"
"10" "allopatricD_boos.misl" 10 1.1796964083449 1.30790448166837 1.13908860338035 0.168815878288025 TRUE "allopatric.d"
"11" "allopatricD_boos.misl" 11 0.151374640261527 0.197900273994334 0.178245379310716 0.0196548946836177 FALSE "allopatric.d"
"12" "allopatricD_boos.misl" 12 0.0575372043495026 0.0719176179497277 0.0667034808374869 0.00521413711224085 FALSE "allopatric.d"
"13" "allopatricD_boos.misl" 13 1.79102569693365 2.36302500679743 2.48267386416369 -0.119648857366253 FALSE "allopatric.d"
"14" "allopatricD_boos.misl" 14 0.6190697833393 1.15859224302577 1.41306129115744 -0.254469048131679 FALSE "allopatric.d"
"15" "allopatricD_boos.misl" 15 4.17037816467205 7.03224056817436 8.24211458148691 -1.20987401331254 FALSE "allopatric.d"
"16" "allopatricD_boos.misl" 16 0.328962143754833 0.512602661505382 0.578713348176833 -0.066110686671451 FALSE "allopatric.d"
"17" "allopatricD_boos.misl" 17 2.81587345230489 5.04989479371607 3.52510837329109 1.52478642042499 FALSE "allopatric.d"
"18" "allopatricD_boos.misl" 18 0.268311414538021 0.323061740843609 0.149921211036996 0.173140529806613 TRUE "allopatric.d"
"19" "allopatricD_boos.misl" 19 1.92558890374942 2.54179825585974 1.65682070634327 0.88497754951647 TRUE "allopatric.d"
"20" "allopatricD_boos.misl" 20 1.57889818222731 1.83587683737085 1.86556969255713 -0.0296928551862798 FALSE "allopatric.d"
"21" "allopatricD_boos.misl" 21 4.10571214451362 7.10835027404428 5.93094966755332 1.17740060649097 FALSE "allopatric.d"
"22" "allopatricD_cons.genl" 1 0.483562737096799 0.840246622106373 1.10712543652343 -0.26687881441706 FALSE "allopatric.d"
"23" "allopatricD_cons.genl" 2 2.34723924093035 2.36155353114685 2.36109923174649 0.000454299400360014 FALSE "allopatric.d"
"24" "allopatricD_cons.genl" 3 1.23487756654609 1.52094334934544 1.39975235641915 0.121190992926296 FALSE "allopatric.d"
"25" "allopatricD_cons.genl" 4 0.251892705082566 0.304892580443612 0.320575535215686 -0.0156829547720737 FALSE "allopatric.d"
"26" "allopatricD_cons.genl" 5 0.0809769445971616 0.100591610217568 0.035756415634531 0.0648351945830372 TRUE "allopatric.d"
"27" "allopatricD_cons.genl" 6 0.026852235788682 0.0585611076389385 0.0687441644525661 -0.0101830568136277 FALSE "allopatric.d"
"28" "allopatricD_cons.genl" 7 0.0342107311624474 0.0531812459333955 0.0556914713795599 -0.00251022544616443 FALSE "allopatric.d"
"29" "allopatricD_cons.genl" 8 2.74321576474517 5.29615219226583 6.27384829443595 -0.977696102170127 FALSE "allopatric.d"
"30" "allopatricD_cons.genl" 9 0.363212799594604 0.804473969573275 0.745387995364725 0.0590859742085497 FALSE "allopatric.d"
"31" "allopatricD_cons.genl" 10 2.20664179119536 2.54848053030577 2.60973472073798 -0.0612541904322161 FALSE "allopatric.d"
"32" "allopatricD_cons.genl" 11 0.430502732117998 0.58771074836555 0.544513747698289 0.0431970006672611 FALSE "allopatric.d"
"33" "allopatricD_cons.genl" 12 0.0550809555112819 0.0789732198141848 0.0898844150426003 -0.0109111952284155 FALSE "allopatric.d"
"34" "allopatricD_cons.genl" 13 1.22954647481309 2.14024423686205 3.31360826486866 -1.17336402800661 FALSE "allopatric.d"
"35" "allopatricD_cons.genl" 14 0.790179078696805 0.919884630901432 1.00461337481359 -0.0847287439121528 FALSE "allopatric.d"
"36" "allopatricD_cons.genl" 15 0.225842671911942 0.43637320845881 0.53793877198018 -0.10156556352137 FALSE "allopatric.d"
"37" "allopatricD_cons.genl" 16 7.97820276106491e-08 0.0234124042446601 0.0372788058563639 -0.0138664016117038 FALSE "allopatric.d"
"38" "allopatricD_cons.genl" 17 0.099205231914462 0.16060272419665 0.165162925038775 -0.00456020084212502 FALSE "allopatric.d"
"39" "allopatricD_cons.genl" 18 0.0335801230263554 0.0516949165948555 0.0522376206333889 -0.000542704038533404 FALSE "allopatric.d"
"40" "allopatricD_cons.genl" 19 0.0386921629242501 0.0604637896465127 0.0659097070681895 -0.00544591742167685 FALSE "allopatric.d"
"41" "allopatricD_cons.genl" 20 1.71914906643562 2.04236939208245 2.24050625362317 -0.198136861540722 FALSE "allopatric.d"
