"geography" "study_com" "n" "num.lg" "p.clustered"
"85" "allopatric.d" "allopatricD_miss.robl" 10 21 0.476190476190476
"86" "allopatric.d" "allopatricD_miss.robl" 10 21 0.476190476190476
"87" "allopatric.d" "allopatricD_miss.robl" 10 21 0.476190476190476
"88" "allopatric.d" "allopatricD_miss.robl" 10 21 0.476190476190476
"89" "allopatric.d" "allopatricD_miss.robl" 10 21 0.476190476190476
"90" "allopatric.d" "allopatricD_miss.robl" 10 21 0.476190476190476
"91" "allopatric.d" "allopatricD_miss.robl" 10 21 0.476190476190476
"92" "allopatric.d" "allopatricD_miss.robl" 10 21 0.476190476190476
"93" "allopatric.d" "allopatricD_miss.robl" 10 21 0.476190476190476
"94" "allopatric.d" "allopatricD_miss.robl" 10 21 0.476190476190476
"95" "allopatric.d" "allopatricD_miss.robl" 10 21 0.476190476190476
"96" "allopatric.d" "allopatricD_miss.robl" 10 21 0.476190476190476
"97" "allopatric.d" "allopatricD_miss.robl" 10 21 0.476190476190476
"98" "allopatric.d" "allopatricD_miss.robl" 10 21 0.476190476190476
"99" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"100" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"101" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"102" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"103" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"104" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"105" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"106" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"107" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"108" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"109" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"110" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"111" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"112" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"113" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"114" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
"115" "allopatric.d" "allopatricD_paxl.prib" 18 21 0.857142857142857
